                        thomas algorithm                thomas algorithm special                                     LU
                                    5000                                    5000                                    5000
   0.00016544500000000001262503990240305   8.5705999999999995619774650901235e-05       1.7488678269999999859152239878313
   0.00012570999999999998733395123462486   8.5649999999999994800686797802314e-05       1.9565306989999999842666511540301
   0.00013945799999999999190837540741228   8.9016000000000002892117101360725e-05       1.8978092060000000262931507677422
   0.00026701300000000002679914623548996   0.00013041899999999999933825156617218       1.6666365670000000687167585056159
   0.00013667799999999999480820855879415   9.2651000000000004511689633002192e-05       1.6666280890000000347583863913314
   0.00016752800000000001284100603626825    8.895599999999999330218408699622e-05       1.6202427090000000031722038329463
   0.00016354699999999999793232063893811    0.0001026709999999999932797714596866       1.8494132029999998945157813068363
   0.00027540399999999998085012387072368   0.00012923599999999999389348193101767       2.0356518280000002185659013775876
   0.00014751700000000000402577970959328   0.00010047099999999999401460032411038       1.9272808839999999719339029979892
   0.00016448299999999999032596065262624   0.00010423699999999999827628160975479       2.0226653140000001585008249094244
                                   10000                                   10000                                   10000
   0.00034320999999999998860897298946782    0.0002071870000000000070113082006884       9.5591336049999995339021552354097
   0.00026035499999999998314154092682315   0.00017784699999999999315593302018357       10.603454277999999177950485318433
   0.00031928000000000001951799832866641   0.00014535899999999998843426551875524       11.309360239000000092346454039216
   0.00032448900000000001657071702076962   0.00019677400000000001031690011199515        10.01650747999999957471572997747
   0.00025328500000000001186883924475524   0.00017787599999999998898192465901502        10.13032838700000048959282139549
   0.00027607199999999998190833294664515   0.00018493500000000000389743792794661       9.4848386179999994993750078720041
   0.00048760200000000001154323858720829   0.00025686900000000001008035321881096        12.70605254100000003347759047756
   0.00041945200000000000843322633947707   0.00026195699999999999931302174793757       11.169386669999999739388840680476
   0.00025984100000000002160527312611293    0.0001776399999999999864980920749602       10.716681126999999307258804037701
   0.00031867700000000001190822440655381    0.0002009129999999999922032090093893       10.780520010000000041827661334537
                                   50000                                   50000                                   50000
    0.0020873599999999999099475900266043    0.0011203969999999999727913202463014                                      -1
    0.0010721319999999999461604005546178   0.00093833000000000002342737115412774                                      -1
    0.0010573369999999999904044534204672    0.0009473770000000000064341310057614                                      -1
    0.0010323509999999999284248097808359   0.00088150200000000004506989226271685                                      -1
     0.001089609999999999970926589654141   0.00086313199999999996175903405060126                                      -1
    0.0018477859999999999163905473054115   0.00093357100000000001020772355531108                                      -1
    0.0010393869999999999064604905285591   0.00085582900000000000813316081149651                                      -1
    0.0010554780000000001018850559475482   0.00089298199999999995548488618268834                                      -1
    0.0010394740000000000836738456300168    0.0010287449999999999632888103562323                                      -1
    0.0010352060000000001035308505592525   0.00093864700000000002733796522491616                                      -1
                                  100000                                  100000                                  100000
    0.0027253849999999998736377460062386    0.0017955810000000000867248495239892                                      -1
    0.0024255230000000001754079104188122    0.0020141909999999998114039723162705                                      -1
    0.0020477690000000000648816556036991    0.0019152609999999999166458986010753                                      -1
    0.0025103149999999999422706231655411    0.0019394060000000000725667304024569                                      -1
     0.002462086000000000048787418549523    0.0017451039999999999260960059643821                                      -1
    0.0021638469999999999926476590417224     0.001745142000000000090734197932818                                      -1
    0.0023595750000000000404232203266019    0.0018731100000000000960903578928196                                      -1
    0.0022646849999999997885002933628584    0.0019459419999999999842388298532114                                      -1
    0.0021652730000000001107929303856281    0.0017462809999999999183845078576383                                      -1
    0.0023584520000000000310158565497431    0.0018325270000000000274187339499576                                      -1
                                  500000                                  500000                                  500000
     0.012741472000000000214248174756904    0.0092055869999999994507389189379865                                      -1
     0.010767643999999999826489016641062    0.0094865200000000000218891571535096                                      -1
     0.010454575000000000672972788606785    0.0083756190000000008133440587698715                                      -1
     0.009479223999999999636378866796349    0.0076649719999999999311968146287199                                      -1
     0.011164336999999999872068556783233    0.0081189590000000002451008285220269                                      -1
     0.009292833000000000343021611115546    0.0074831519999999998593587235973246                                      -1
     0.008863963000000000744260653107176    0.0075856329999999996122062029257904                                      -1
     0.010575819999999999665440952867357     0.008511723000000000552422996236146                                      -1
    0.0095958999999999992219779088031828    0.0079151210000000006561382548397887                                      -1
     0.010452915999999999596692390468888     0.009052967000000000305504066488993                                      -1
                                 1000000                                 1000000                                 1000000
     0.027385244999999999032658237752003     0.016537512000000000739197147936466                                      -1
     0.019731920000000000015027978861326     0.018683351000000000818879186681443                                      -1
     0.020296941999999998373915843785653     0.016283885000000001413988925946796                                      -1
     0.024958313999999998805678913527117     0.018723198999999999397880756646373                                      -1
     0.023951808000000001513951630727206     0.019669085999999998820575441982328                                      -1
     0.030482485999999999609633150043919     0.018316518000000000382376796892459                                      -1
     0.022177650999999999614775703093983     0.019851937999999999528988325891987                                      -1
     0.021189928999999999709169529182873     0.017052141999999999300019482006974                                      -1
     0.025219670999999999061458311189199     0.018130660999999999305476450217611                                      -1
     0.021162668999999998536987177999436     0.018741095999999998755747299128416                                      -1
                                 5000000                                 5000000                                 5000000
      0.19190878199999999997871213963663     0.093754684000000004795438712790201                                      -1
      0.12736434099999999203234324340883     0.095512499000000000703991531736392                                      -1
      0.10697636700000000276045142300063        0.100588310999999999695297958624                                      -1
      0.11050759899999999802400196813323      0.10413956000000000601257710286518                                      -1
      0.10550841599999999376180426224892     0.077854132000000006441631228426559                                      -1
     0.090390934000000006109942773946386     0.093215255999999996339155927671527                                      -1
     0.099449759999999998161257508400013     0.088041365999999995906044603088958                                      -1
     0.093263130999999999115601667654119     0.083406842999999994403559355760081                                      -1
      0.10039594100000000242989273147032     0.086284431999999994244987533420499                                      -1
       0.1030968710000000065907244106711     0.087609308999999996325769302529807                                      -1
                                10000000                                10000000                                10000000
      0.24311156300000000274330602678674      0.15197277900000000228075691666163                                      -1
      0.20920204100000000524417487213213       0.1532697520000000090956149279009                                      -1
      0.23216443400000000285565704416513      0.18168933900000000525309928889328                                      -1
      0.21806410000000001070397104285803       0.1576367770000000056995759223355                                      -1
      0.18844215100000000218116724681749      0.15167833699999999641505610270542                                      -1
      0.24908937000000000439037250998808      0.15662114899999998729462902247178                                      -1
        0.198348889999999999922408733255      0.16184442600000001344362487998296                                      -1
       0.2335988509999999962474248604849      0.15237394700000000957729184847267                                      -1
       0.2354528439999999944731712275825       0.1506729910000000061121028238631                                      -1
      0.19437884499999999454722399150342      0.17674618500000000009819700608205                                      -1
                                50000000                                50000000                                50000000
       1.2569150239999999918438788881758       1.0015988460000000426219912696979                                      -1
       1.2092625130000000943653049034765      0.99720276200000002031487156273215                                      -1
       1.3029712129999999614682337778504      0.96859390599999994897473243327113                                      -1
        1.285247825999999982116150931688       1.0044886889999999901590399531415                                      -1
       1.3287754540000000780253230914241      0.99466564599999995888168768942705                                      -1
       1.2400746369999999796362999404664       1.0333057820000000059934563978459                                      -1
       1.1603793669999999949027369439136       1.0110724429999999873786009629839                                      -1
       1.2951612800000000813582801129087       1.0370778050000000192198967852164                                      -1
       1.2047040609999999372092815974611      0.99464587800000003880995791405439                                      -1
       1.2402722710000000372332351616933       1.0314715839999999413834075312479                                      -1
                               100000000                               100000000                               100000000
       2.6243427029999999433584889629856       1.9717405830000001021318212224287                                      -1
       2.5373464580000000268000803771429       1.9850862080000000187141040441929                                      -1
       2.4146766930000000961342720984248       2.0003233869999998972843968658708                                      -1
       2.4661392690000001337580215476919       2.0084779560000001197295205201954                                      -1
       2.5010249739999999007977748988196       2.0404768569999998106823113630526                                      -1
       2.4304430479999998837570274190512       1.9658492979999999672457988708629                                      -1
       2.4247424969999999966319137456594       1.9328437960000000028770728022209                                      -1
       2.3829308060000000679679033055436       1.9681619569999999619369646097766                                      -1
       2.3980751559999999855676833249163       1.8926874110000000417386445406009                                      -1
       2.4076984119999997879801867384231       2.0393514470000000393667960452149                                      -1
                               500000000                               500000000                               500000000
       52.411052339000001154545316239819       23.681902921999999023228156147525                                      -1
          46.479624379000000544692738913       10.271156663999999381076122517698                                      -1
       41.106222959000000116702722152695       9.8256092519999995715807017404586                                      -1
       41.928050374999997984559740871191        9.699360301000000461613126390148                                      -1
        42.41865181000000006861228030175       9.7226101800000002128854248439893                                      -1
       39.200827349999997295526554808021       10.462801673999999607644895149861                                      -1
       39.245072051000001067677658284083       9.7902045569999991414533724309877                                      -1
       39.836517944999997098420863039792       10.043016057999999190997186815366                                      -1
        41.24861031700000069122324930504       9.5657064009999999143474269658327                                      -1
       41.707265540000001635689841350541       9.5502016990000004881267159362324                                      -1
                              1000000000                              1000000000                              1000000000
       126.95643596700000443888711743057       61.371333542999998655886884080246                                      -1
       121.43876769099999535228562308475       66.232901487000006568450771737844                                      -1
       128.20867373100000463637115899473       60.504294569999998998355295043439                                      -1
       121.81045012600000632119190413505       61.366812445000000764139258535579                                      -1
       129.09093729700001063065428752452       61.633312656000001084066752810031                                      -1
       124.81331587500000068757799454033       62.091832953000000827614712761715                                      -1
       129.01099796899998750632221344858        59.20591675499999695375663577579                                      -1
       128.94313983899999698223837185651       65.158289527999997403640008997172                                      -1
       130.03128548699999100790591910481        62.68136111900000173591251950711                                      -1
       127.99246075300000313745840685442       59.396750484999998320745362434536                                      -1
