mc_iterations: 10000000 spin_matrix_dim: 40
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   2   -2792.89376583333    7804897.26963667    1458.11257354167    2127323.06624125    1458.11257354167
                2.01         -2781.14364       7739581.13623   -1452.72788979167    2111756.44586375    1452.72788979167
                2.02   -2769.02819833333    7672509.52533667    1447.03597229167    2095365.16684042    1447.03597229167
                2.03   -2756.74852916667    7604848.77102333         -1441.25009    2078780.59418333          1441.25009
                2.04      -2743.88238875    7534268.78285167      1434.910384375    2060700.84122792      1434.910384375
                2.05   -2730.81943333333    7462967.67239333     -1428.394983125    2042221.08917292      1428.394983125
                2.06   -2717.28203291667      7389431.397555    1421.51550354167    2022794.87839458    1421.51550354167
                2.07   -2703.40640791667    7314451.22536167    1414.24164020833    2002406.81315542    1414.24164020833
                2.08      -2689.16221625    7237865.48291833   -1406.68996541667    1981335.43953917    1406.68996541667
                2.09   -2674.54243583333    7159707.28343667       1398.71068875    1959229.66202167       1398.71068875
                 2.1   -2659.19141291667    7078095.15228833    1389.89251270833    1935005.32486292    1389.89251270833
                2.11   -2643.71388083333       6996324.80897   -1380.98662416667     1910684.7269875    1380.98662416667
                2.12         -2627.46127    6910921.98835667   -1371.10120666667     1883948.1680275    1371.10120666667
                2.13   -2610.58030291667      6822891.724105    841.948304166667     1854904.0068325    1360.13535083333
                2.14       -2593.3258175    6733408.79421333   -1349.13349145833    1825649.26781875    1349.13621270833
                2.15   -2575.49839416667       6641648.43149        701.28903375    1794109.15246583    1337.10515041667
                2.16   -2556.56723208333    6544930.34985167    366.877684791667    1758448.86618542    1323.11619104167
                2.17   -2537.73623416667    6449419.00294333    270.924158958333    1723877.21277375    1309.60289520833
                2.18   -2517.29621958333      6346596.504445       -88.069281875    1682740.99590375    1292.86390104167
                2.19      -2496.44617125      6242603.956515        345.42316875    1640374.05820083    1275.50717333333
                 2.2   -2473.97816333333       6131521.40902    128.224536041667    1591337.21018458    1254.72271979167
                2.21   -2451.05860166667       6019291.96586        321.53879625      1540868.943865    1233.00558291667
                2.22      -2427.04745625      5902845.789055   -18.4739995833333      1485010.910855    1207.86696083333
                2.23   -2401.88737083333       5782015.99066        18.131599375    1425016.33828708    1180.59034604167
                2.24      -2373.85976625    5649119.02293167       -87.701690625    1350314.87078458    1144.06287020833
                2.25   -2345.02626208333    5513933.82647167    60.3708004166667    1271586.11338583    1104.24545458333
                2.26      -2314.69417625    5373431.03211167    1.31672291666667       1184947.19135    1057.79527916667
                2.27   -2285.32216083333    5238984.91592333    35.2294002083333    1105842.64024208    1014.73220520833
                2.28   -2253.33897291667    5094262.02410833   -53.6030008333333     1012442.6425025        961.72785125
                2.29      -2221.20458125    4950721.45633833    22.3040372916667    918291.979182083       905.260816875
                 2.3   -2186.87913083333       4799395.26866   -4.80604708333333       813282.776375    839.501108333333
                2.31   -2157.44142416667        4671206.7327    10.8175541666667        734773.96445    789.571315833333
                2.32   -2126.51403666667    4538225.75413333    22.0456133333333    649137.694478333           731.73897
                2.33   -2097.78412666667       4416261.06628   -3.41844833333333    574345.760340833    679.354127083333
                2.34      -2069.41141125    4297309.31369833  -0.420408333333333      502285.2727925    626.208806666667
                2.35   -2042.78137708333    4187070.42956833   -9.95235354166667    439053.975727917    578.172445208333
                2.36       -2018.3447575    4087079.52605667   -9.59447041666667    387171.976104167           537.54475
                2.37   -1994.50264458333    3990800.61217167    12.0987747916667    339405.516097917    497.537511458333
                2.38   -1972.76100291667    3903915.43400833   -3.04763104166667    301416.753522917       465.012669375
                2.39   -1951.37559416667    3819480.66260333    1.47543020833333     266569.24513375    433.657627708333
                 2.4   -1931.88618583333       3743372.17415    1.14524729166667    240445.524237917    409.673431041667
                2.41   -1912.95251583333    3670168.94501667   -6.36211270833333    214368.535465417       384.483394375
                2.42   -1894.99038791667    3601418.34972833         -5.49620375    193587.271420833    363.420436666667
                2.43   -1877.54258458333    3535295.91803167    4.92798854166667    176527.305707083    345.856121041667
                2.44        -1861.068555       3473437.03377          3.69107375      161603.2038425        329.71541875
                2.45       -1844.4822825    3411696.91863333   -3.23497333333333    146369.707343333        312.78614625
                2.46   -1828.70134291667    3353514.89405167           1.6856775        134500.48818    299.150892083333
                2.47   -1813.62692791667      3298436.135085        -0.656441875     125100.07071875    288.024205208333
                2.48   -1798.74090041667      3244481.451745   -2.33381291666667      116127.1241025         277.0642375
                2.49   -1784.41358916667       3192973.26098    1.42457541666667    107726.527008333    266.181882083333
                 2.5   -1770.25242666667    3142505.30626333    1.15921270833333     100299.96815125    256.426372708333
                2.51   -1756.62799833333    3094328.39597667         -3.25993125    94225.2696766667    248.303860416667
                2.52      -1742.86123875      3045986.762775   0.119482708333333      87418.79288125       238.848319375
                2.53   -1729.72514083333    3000255.91037667   -2.44583604166667    82768.8789104167    232.316461458333
                2.54        -1717.169545    2956880.40467667  -0.465701458333333    77806.7624220833    225.012761458333
                2.55   -1704.39297916667    2913036.93151667  0.0879860416666667    73970.5661245833       219.404486875
                2.56      -1692.43081375      2872317.499005          -0.6222075       70199.8962425    213.332303333333
                2.57   -1680.00372416667        2830310.8289  -0.227412708333333      66063.81897125    206.727621041667
                2.58   -1668.32397708333      2791109.089595    1.58102583333333    63017.1566458333    201.993313333333
                2.59   -1656.53600583333    2751820.27600333  -0.467055833333333    59901.8989941667    196.922242083333
