mc_iterations: 10000000 spin_matrix_dim: 60
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   2   -6284.00095583333      39499111.72636   -3280.78162395833    10766294.3899504    3280.78162395833
                2.01   -6257.52920666667    39167503.6746167    3268.57181416667    10686570.1868883    3268.57181416667
                2.02      -6230.37055625    38828751.0247083   -3255.89504041667    10604118.4539258    3255.89504041667
                2.03   -6202.52149958333     38482935.952545    3242.61598791667     10518117.082645    3242.61598791667
                2.04   -6173.75459833333      38127346.75277   -3228.56421333333    10427528.0960175    3228.56421333333
                2.05   -6144.45455416667    37766880.4666367   -3213.98427645833    10333985.6191337    3213.98427645833
                2.06         -6114.06183    37394811.4502333   -3198.62748354167    10235884.5892913    3198.62748354167
                2.07       -6083.0555325    37017123.0184167   -3182.39076416667     10132803.918765    3182.39076416667
                2.08   -6050.61248833333    36624038.1246067    3164.88068333333    10022277.3776908    3164.88068333333
                2.09   -6017.94943833333    36230375.6157967         -3147.28903    9911757.69674083          3147.28903
                 2.1   -5983.40998041667    35816494.3114717    3127.42773833333    9787983.87900583    3127.42773833333
                2.11   -5948.38563916667    35399209.6443633   -3106.93332145833    9661185.12806875    3106.93332145833
                2.12   -5911.74296916667       34965316.4048        -3084.727495    9524710.20874917         3084.727495
                2.13   -5874.78440666667    34530372.4799767       3062.13595875     9386981.1042125       3062.13595875
                2.14         -5835.22947    34068047.7950233    3035.69322979167    9227698.24730625    3035.69322979167
                2.15   -5795.31268041667     33604625.848275   -3008.87887020833    9067510.28489292    3008.87887020833
                2.16      -5753.07147375    33117782.0806617   -2978.47516291667    8888324.04873083    2978.47516291667
                2.17   -5709.67506791667    32621295.0816583     -2946.233599375    8700187.31801625      2946.233599375
                2.18   -5664.19152541667    32105137.0060283     -2909.976376875    8492589.01616208      2909.976376875
                2.19   -5616.90489666667    31572880.0133167   -1096.18657458333     8266074.4914425    2869.65722458333
                 2.2   -5567.13079791667    31017583.7932783        419.63994125    8017371.60379167    2824.68244958333
                2.21       -5514.5070275    30436112.7242433       -715.93644875     7732736.0128575    2771.11059708333
                2.22      -5459.88760375     29838539.431535        -498.0005025    7426095.27004167       2711.53183625
                2.23   -5401.43063791667    29205469.5839817   -1207.47740479167    7075487.83551625    2641.85634104167
                2.24   -5337.81486458333     28525087.870615   -818.616743958333    6646496.46822875    2550.05153520833
                2.25   -5271.54250166667    27824093.3718767        61.136005625    6195716.62319792    2451.72093104167
                2.26   -5197.76363541667     27054745.859655   -356.732827708333    5622597.23413292      2314.261378125
                2.27   -5121.94722791667    26274602.1766283    45.5245679166667       5029531.13493        2162.6866325
                2.28   -5043.00534833333      25473166.05256      -125.852069375    4387825.33323875    1992.49334854167
                2.29      -4963.08446625    24673557.8981317    51.6578735416667    3730410.16159292    1801.12959645833
                 2.3   -4887.39640291667    23926954.0819717   -31.8663910416667    3159261.11860125    1627.20198979167
                2.31   -4808.77969291667    23162599.7685483    85.7185220833333    2526408.02158833       1414.90775875
                2.32          -4742.2045    22524106.1448333   -38.3019079166667    2101250.76809583       1271.38628375
                2.33       -4677.2577175      21909747.80827    18.4952204166667    1705725.25796833          1123.29359
                2.34       -4619.2069425    21368060.6311867   -1.12194104166667    1418912.67717958    1010.46177104167
                2.35   -4566.36453333333    20880761.7823433    9.01315958333333    1199508.55597583    920.649796666667
                2.36      -4514.28765875     20406319.775505    11.0029272916667    1001239.15515042       832.436454375
                2.37       -4466.8083075    19978781.1091067   -5.23504208333333       851574.107385    760.459500833333
                2.38   -4420.86962458333    19569303.1844717    1.97482895833333    737414.175849583    704.756545208333
                2.39   -4377.58045041667    19187588.7998017         6.450231875    640091.647022917    653.353968958333
                 2.4   -4335.74577833333    18822371.5923667    5.17757229166667    566391.609732917    612.350992291667
                2.41   -4295.33486208333    18472925.2263983   -7.20947854166667    501389.313295417       574.588144375
                2.42   -4256.54213458333     18140589.162805   -4.74594958333333    446775.959938333    541.910045416667
                2.43   -4219.18722083333    17823470.1127367   0.294733333333333       403919.000405        513.42245125
                2.44   -4182.61598583333    17515726.4823867    4.69698208333333    366054.906574167         488.3028875
                2.45   -4146.58523583333    17215226.7101067    3.60902541666667    334331.119768333        466.22558125
                2.46      -4111.82855125    16927837.3574117   -5.61618895833333    301694.630269583       442.179773125
                2.47      -4078.57536625     16655115.040415        -5.004628125     283298.30884125    428.333444791667
                2.48   -4045.39642166667    16385238.6042667   -4.55127020833333    260487.279962917    410.099829791667
                2.49   -4013.33469166667    16126528.9582833   0.676046458333333     242937.78321125    396.040024791667
                 2.5   -3981.67274291667    15873079.0015017          -1.7162275      223812.5909075    379.789625833333
                2.51   -3951.09379916667    15630218.6608733    1.62574208333333    211489.954863333    369.622163333333
                2.52   -3920.97002708333    15392873.0346717    2.01221791666667    197801.010740833    356.769908333333
                2.53   -3891.93124291667    15165723.3356783          1.45163625        185347.38477    345.139980416667
                2.54   -3863.06469333333      14941636.22725          1.83846125    176019.640989167        336.49267875
                2.55   -3835.05211541667    14725775.6999717              2.0035      166283.4588375         326.8896075
                2.56   -3807.44994791667    14514595.0456117    1.05617979166667    157243.052070417       317.811884375
                2.57   -3780.24499083333    14307986.3789833    1.54095166666667    149268.907106667    309.640875833333
                2.58      -3753.61158125    14107154.2696017  -0.532188541666667    142284.625415417       301.985131875
                2.59   -3727.40419916667    13910881.7378333          0.95541625    134567.986444167          293.714305
