mc_iterations: 10000000 spin_matrix_dim: 100
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   2   -17455.6069108333     304727222.14643          -9113.2051    83058204.7661108           9113.2051
                2.01   -17382.0266479167    302164934.950108   -9079.32290645833    82442483.4503396    9079.32290645833
                2.02   -17306.6650954167    299551868.942992       9044.19785625    81806591.9450883       9044.19785625
                2.03     -17229.25639875    296879656.882962      -9007.24694625    81140387.0767258       9007.24694625
                2.04   -17149.6170333333     294142998.53742         8968.509305    80444985.4320008         8968.509305
                2.05      -17067.7180475    291341886.398703      -8927.75119125    79716577.6913392       8927.75119125
                2.06      -16983.3800325    288471481.331583    8884.62620166667    78949685.3016175    8884.62620166667
                2.07      -16896.8050425    285539678.792393      -8839.55528375    78152162.8406583       8839.55528375
                2.08   -16807.2646529167    282523381.457612      8791.366475625    77304217.7090763      8791.366475625
                2.09   -16715.5548541667    279450512.946837    8741.15841333333    76425682.8487725    8741.15841333333
                 2.1   -16620.6708104167    276289210.807765    8687.37929416667    75490568.1961158    8687.37929416667
                2.11   -16522.6768579167    273043082.227532   -8629.86153541667    74497089.4326392    8629.86153541667
                2.12   -16421.9439304167    269726374.050955    8569.33287208333     73458967.468515    8569.33287208333
                2.13   -16317.3594608333     266304387.57999        -8503.759395    72343180.8886317         8503.759395
                2.14     -16208.78754125    262775247.266798   -8432.38880208333    71139286.9835908    8432.38880208333
                2.15   -16096.9454891667    259164420.685213    8356.39309916667    69868996.0000783    8356.39309916667
                2.16   -15981.1074891667     255451132.85677   -8275.28349395833    68526105.9323637    8275.28349395833
                2.17   -15860.0104829167    251598049.462015    8182.84056541667    67017368.6001633    8182.84056541667
                2.18   -15734.0201066667     247620609.74226      8084.399485625    65424358.3354521      8084.399485625
                2.19       -15602.722015     243509527.79279   -7972.80487166667    63650742.0055658    7972.80487166667
                 2.2      -15463.8657225    239199749.859063       7845.30097875    61656080.7508058       7845.30097875
                2.21   -15318.5797320833    234731795.890288    7701.73190583333    59458086.3414967    7701.73190583333
                2.22   -15165.7923308333    230079347.455353    7535.92697291667    56979766.8522742    7535.92697291667
                2.23   -15001.6833291667     225134880.36531   -7290.54811041667    54044744.0160158    7330.53016583333
                2.24        -14823.80137    219837229.606923    6125.03668229167    50443896.9404079    7067.50169395833
                2.25     -14632.81559375    214221893.620108   -3594.50210104167    46219645.9176921      6734.046173125
                2.26      -14418.3216925     208002462.00164    1991.25817020833    40693582.1372138    6264.85277354167
                2.27   -14183.8162016667      201306390.1549       -965.90413625    33926816.3580392         5611.383705
                2.28   -13937.2628004167    194374599.446982    302.716667708333    26530299.1148104      4834.963288125
                2.29   -13694.9865245833    187674094.285082    96.9217795833333    19412322.6406008    3991.16027083333
                 2.3   -13480.4413441667     181833060.63991         -24.4256125    14168083.6029108    3296.79547416667
                2.31   -13277.5454058333    176391627.599427   -109.767528541667    9869957.43937208    2670.37159020833
                2.32   -13104.3503004167    171814156.729835   -88.5602164583333    7403703.38835208    2274.29079479167
                2.33     -12944.79751875    167651341.532192    13.3750629166667     5597125.7470925        1950.0681125
                2.34     -12794.42885125    163776276.434515   0.470657708333333    4305946.16915875      1695.358400625
                2.35       -12653.722385    160191630.321623    7.05564208333333      3427206.726045    1503.65094291667
                2.36   -12523.2339729167    156904016.435822        -17.02350625    2901034.33600167    1376.63419041667
                2.37     -12394.35616875    153690181.708285   -35.9331466666667     2429965.9273175    1258.37285916667
                2.38   -12271.5521529167    150659139.392555    3.70011145833333    2061488.30785125      1156.654278125
                2.39     -12153.14056375    147764856.368012   -10.0698554166667    1780392.38999167        1072.9407725
                 2.4   -12040.0957854167    145028772.848725            3.458655    1573017.36714667         1007.926465
                2.41     -11928.76625625    142358596.124175    13.2662635416667    1388080.74841792       945.682206875
                2.42   -11821.4085670833    139807510.826315 -0.0914004166666667    1231160.60746083        889.88407875
                2.43     -11717.25465625    137354479.556698   -2.81258583333333    1104918.22752417        842.74530625
                2.44   -11616.8879591667    135011609.997237         0.052055625    1020408.60394208       809.573048125
                2.45   -11517.8445595833    132719217.275262   -2.42252145833333    919197.423629583       767.286798125
                2.46   -11421.8911754167    130516953.606505         0.970064375     842342.30293375       734.721146875
                2.47   -11327.8761029167    128377093.301605   0.686131041666667    777314.074817083    705.253738541667
                2.48   -11236.7392558333     126319862.97372         4.768041875     721568.39314625       679.383060625
                2.49   -11148.3997183333     124341483.06767         0.808113125    676456.294637083       657.703156875
                 2.5   -11061.5701570833    122412140.919738          -5.4002625    628763.572830833    633.681719583333
                2.51   -10974.9039129167    120501614.576475  0.0551195833333333    584514.960325833         611.2830625
                2.52   -10892.2481195833    118693482.998252        -5.939545625     552983.66888875    594.673134791667
                2.53     -10810.72446125    116923375.272925  -0.916406458333333    516223.197334583       574.177840625
                2.54   -10730.4366370833    115193270.941125   -1.49641666666667    486804.060931667          557.493145
                2.55   -10652.2971016667    113521854.124557    3.20608791666667      462836.2615175         543.4443625
                2.56   -10575.7844108333    111896997.431797   0.784435416666667      436428.8063425        528.23835125
                2.57   -10500.6709979167    110313317.662378   -3.82344458333333    413775.306533333         514.1979825
                2.58   -10426.1976954167    108754274.961005    2.55254229166667    394256.124632083    501.471796041667
                2.59   -10354.0004041667     107253524.23259   -3.29207729166667    374979.592465417       489.106033125
