mc_iterations: 10000000 spin_matrix_dim: 20
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   2   -698.231599166667        488689.25049    206.015163958333     133179.26503625       364.512150625
                2.01   -695.221097916667       484537.477245    84.5114916666667    132199.165173333           363.11915
                2.02   -692.266917083333    480484.459941667    168.337677291667    131219.810300417       361.731680625
                2.03       -689.08196125    476131.963248333            44.54857    130158.463106667    360.216271666667
                2.04   -685.920459166667    471838.321646667   -35.6411314583333     129059.53731375    358.618635208333
                2.05   -682.639187916667    467394.147901667   -37.1506920833333    127962.448694167    357.048369583333
                2.06   -679.263393333333    462856.234473333         -67.7700075    126755.325803333    355.263413333333
                2.07   -675.760147916667    458163.145058333   -131.451549791667     125528.55817125    353.475003958333
                2.08       -672.28114625    453530.118368333   -40.2584672916667     124284.41957875    351.627811041667
                2.09   -668.500589583333    448529.901778333        35.658769375     122875.00934125    349.491537291667
                 2.1   -664.808440416667    443669.320578333        73.892589375     121504.69552875       347.414208125
                2.11   -660.821910416667    438460.324821667        -4.638580625    119981.657627917    345.051601458333
                2.12   -656.894518333333        433353.70845   -39.4226758333333    118472.517759167    342.733258333333
                2.13       -652.60339875    427819.457891667        53.715381875    116769.836357083    340.028991041667
                2.14   -648.375864166667    422401.409163333        24.336931875    115059.163729583       337.285150625
                2.15        -643.9022025    416703.868496667   -28.5718289583333    113250.834609583       334.363478125
                2.16   -639.283021666667    410876.699986667   -48.8240177083333    111268.426657083       331.053846875
                2.17       -634.37156625    404724.298708333   -1.77736770833333    109155.409695417       327.491166875
                2.18   -629.616232916667       398804.405745         -8.44411625      107094.6342725        323.99874875
                2.19   -624.245889166667    392184.402083333         2.382338125    104663.232437083    319.725278958333
                 2.2   -619.152863333333        385958.55378           -16.17701    102359.217760833    315.645020833333
                2.21        -613.6230275        379238.62786   -10.8946335416667      99835.87582125    311.155855208333
                2.22        -608.0103875        372511.46368         10.31358625    97145.2961516667         306.0776825
                2.23       -602.09089875    365450.749758333   -18.9766647916667    94319.7669820833       300.820788125
                2.24   -596.394625833333    358725.381533333   0.511761041666667      91588.65113625    295.560382291667
                2.25   -590.231103333333    351508.052186667            0.101285    88593.6938083333    289.748752916667
                2.26   -584.203937083333       344520.067835           -4.023915    85659.1114391667    283.945028333333
                2.27         -577.301865        336611.33353          1.95223375    82090.0193458333        276.59991375
                2.28   -571.368719583333    329855.422131667   -4.23103979166667    79233.4009420833    270.735463958333
                2.29   -564.267105416667       321875.858205  0.0108785416666667    75517.6076629167    262.682649791667
                 2.3   -557.668533333333    314527.946746667         3.621599375    72109.7517579167    255.241708541667
                2.31        -550.9955925         307153.7565         3.449148125    68746.9281095833    247.888157708333
                2.32   -544.676008333333    300247.370496667          2.20669625    65618.1426633333        240.84422125
                2.33   -537.726602916667    292730.595191667    3.64286354166667    62054.4971479167    232.604643958333
                2.34   -531.595085416667    286162.828068333   0.360422916666667    59064.2582108333    225.675017916667
                2.35   -524.742636666667        278895.91777             0.60028    55591.1290558333    217.255160416667
                2.36   -518.641679166667    272494.554746667   -1.46444291666667    52627.9915558333    210.066064166667
                2.37   -512.179255416667       265780.165035          1.40906625    49456.1591591667    202.158390833333
                2.38   -506.382446666667    259820.551746667    1.14549104166667    46771.5482195833    195.363569791667
                2.39   -500.585799166667    253906.669873333         -1.50406125    44130.7630816667           188.62832
                 2.4       -494.98698375    248267.957131667        -2.669981875    41635.3806945833    182.062586041667
                2.41       -489.16516875       242444.756935   -1.11622666666667    38963.6644133333    174.949385416667
                2.42   -483.827527083333    237182.535098333   0.167569166666667    36621.9983158333    168.456971666667
                2.43   -478.595432083333       232049.777905   0.270771458333333    34403.3453254167    162.341986458333
                2.44   -473.565937083333       227183.217415  -0.291779583333333        32343.688985        156.46872625
                2.45          -468.78386    222593.929226667   0.289097916666667    30527.7132258333    151.278033333333
                2.46   -463.996398333333    218052.082263333         -0.42284875    28659.0024833333    145.768685416667
                2.47         -459.583345    213905.074096667  -0.341445208333333    27058.8181870833       140.940300625
                2.48        -455.3977725        210004.47173  -0.172903333333333    25633.0307166667        136.64194875
                2.49   -451.076717083333    206013.968728333  -0.452313958333333    24144.9395995833    132.092026041667
                 2.5          -447.01538        202304.37928  0.0896010416666667    22795.9210404167    127.734301458333
                2.51   -443.259969583333    198902.562011667  -0.662233333333333    21689.4896266667    124.194008333333
                2.52        -439.4427125    195476.744813333         0.714764375      20558.06228125    120.493868541667
                2.53   -435.675202916667    192127.178211667          0.84722375    19488.1279858333    116.930149583333
                2.54   -432.244053333333        189098.60583        -0.119100625      18586.89884375    113.917717291667
                2.55   -428.661841666667    185964.066233333           -0.743795       17598.7749275    110.491191666667
                2.56   -425.371833333333    183108.307106667            0.355885    16832.5105466667    107.891444166667
                2.57       -422.14124625    180332.210911667   0.359480416666667    16060.6136141667    105.072255833333
                2.58   -418.838324166667    177516.311713333   0.372683333333333    15257.7718491667    102.122514166667
                2.59   -415.773229166667    174921.234883333             0.41231    14600.1516683333    99.7306704166667
