                   N               error          calculated               exact       comp time (s)            variance
              100000           0.0017369            0.191029            0.192766           0.0749798         1.31524e-05
              200000         0.000612028            0.192154            0.192766            0.135625         7.08375e-06
              300000          3.8143e-05            0.192804            0.192766            0.182716         4.90926e-06
              400000         0.000165738              0.1926            0.192766            0.223189         5.40972e-06
              500000         0.000826589            0.193592            0.192766            0.284497         4.56865e-06
              600000         0.000479636            0.193245            0.192766            0.358637         4.58678e-06
              700000         0.000608821            0.193375            0.192766            0.443912          4.6275e-06
              800000         0.000462397            0.193228            0.192766            0.498681         4.60095e-06
              900000         0.000427301            0.193193            0.192766            0.579069         4.39731e-06
             1000000          0.00016377            0.192929            0.192766            0.742659         4.57898e-06
             1100000         0.000193278            0.192959            0.192766            0.857002         4.56514e-06
             1200000         0.000123086            0.192889            0.192766             0.84538          4.1944e-06
             1300000         0.000307828            0.193074            0.192766            0.949543         4.49705e-06
             1400000         0.000272115            0.193038            0.192766             1.01169         3.86318e-06
             1500000         1.24795e-05            0.192753            0.192766            0.978778         4.08735e-06
             1600000         0.000144096             0.19291            0.192766             1.17441         3.86152e-06
             1700000          0.00021764            0.192983            0.192766             1.10149         4.09677e-06
             1800000         0.000257061            0.193023            0.192766             1.14212         4.24269e-06
             1900000         0.000189768            0.192955            0.192766             1.23749         4.32195e-06
             2000000         0.000210616            0.192976            0.192766             1.41492         4.10598e-06
             2100000         0.000132096            0.192898            0.192766             1.35988         4.30656e-06
             2200000         0.000197708            0.192963            0.192766              1.3945         3.98622e-06
             2300000         0.000139493            0.192905            0.192766             1.59249         4.15833e-06
             2400000          0.00012219            0.192888            0.192766              1.6878         4.55436e-06
             2500000         0.000207495            0.192973            0.192766             1.80636         4.94456e-06
             2600000         0.000153253            0.192919            0.192766             1.76194         5.65784e-06
             2700000         1.21845e-05            0.192778            0.192766             1.85287         5.57104e-06
             2800000         9.72797e-05            0.192863            0.192766             1.95267         5.64907e-06
             2900000         0.000118574            0.192884            0.192766             2.07653         5.42499e-06
             3000000          1.5911e-05            0.192782            0.192766             2.23686         4.90843e-06
             3100000         7.96233e-06            0.192774            0.192766             2.09421         4.84281e-06
             3200000         0.000129407            0.192895            0.192766             2.11119         4.88956e-06
             3300000         5.25401e-05            0.192818            0.192766             2.20098         5.58182e-06
             3400000         0.000236075            0.193002            0.192766             2.17002         5.07216e-06
             3500000         0.000290626            0.193056            0.192766             2.29386         5.13963e-06
             3600000         0.000344186             0.19311            0.192766              2.6035         4.51978e-06
             3700000         0.000230607            0.192996            0.192766             2.50026         4.14035e-06
             3800000         6.56548e-06            0.192759            0.192766             2.56303           4.514e-06
             3900000         9.45826e-06            0.192756            0.192766             2.61498         4.30974e-06
             4000000         0.000454073            0.192312            0.192766             2.81008          5.3223e-06
             4100000         0.000454858            0.192311            0.192766             2.83597         5.52493e-06
             4200000         0.000332651            0.192433            0.192766             2.88775         5.42155e-06
             4300000         0.000148839            0.192617            0.192766             2.96231         5.30752e-06
             4400000         9.44227e-05             0.19286            0.192766             2.95543         4.58253e-06
             4500000         0.000102142            0.192868            0.192766             3.08112         4.81262e-06
             4600000          0.00010773            0.192873            0.192766             3.27167         4.98043e-06
             4700000         7.07285e-05            0.192836            0.192766             3.32945          5.1036e-06
             4800000         3.08471e-05            0.192735            0.192766             3.11305         4.51254e-06
             4900000         8.51877e-05            0.192681            0.192766             3.27469         4.49325e-06
             5000000         6.92351e-05            0.192696            0.192766             3.31875         4.73723e-06
