                   N               error          calculated               exact       comp time (s)            variance
            57000000         7.13951e-05            0.192837            0.192766             9.11074           0.0202644
            58000000         0.000790262            0.191975            0.192766             9.34123           0.0248941
            59000000         0.000232247            0.192533            0.192766             9.45422           0.0349522
            60000000         0.000997548            0.191768            0.192766             9.61577           0.0204434
            61000000         3.18717e-05            0.192734            0.192766             10.2436           0.0235316
            62000000         0.000763052            0.192003            0.192766               10.75           0.0203592
            63000000         0.000221342            0.192544            0.192766             10.0368           0.0227517
            64000000         0.000249635            0.193015            0.192766             10.2916           0.0222506
            65000000         0.000964789            0.191801            0.192766             10.4666           0.0331474
            66000000         2.11809e-05            0.192745            0.192766             10.8524           0.0196857
            67000000         0.000312424            0.193078            0.192766             11.2374           0.0262402
            68000000          0.00248554             0.19028            0.192766             11.0989           0.0245675
            69000000         0.000854027             0.19362            0.192766             11.4173           0.0220302
            70000000         0.000370077            0.192396            0.192766             11.2482           0.0618523
            71000000         0.000519918            0.192246            0.192766             11.5883           0.0193519
            72000000          0.00109064            0.193856            0.192766             11.4045           0.0239858
            73000000         0.000676287            0.192089            0.192766             11.5364           0.0246888
            74000000         0.000887487            0.191878            0.192766             12.4109           0.0201773
            75000000         0.000856022            0.193622            0.192766             12.1318           0.0239865
           105000000         0.000892212            0.193658            0.192766              17.166           0.0207663
           115000000         0.000828389            0.193594            0.192766             18.6073            0.016947
           125000000         0.000180098            0.192586            0.192766             20.8219           0.0221343
           135000000         0.000463496            0.192302            0.192766             22.3534           0.0224745
           145000000         0.000388133            0.193154            0.192766             23.2589           0.0199053
           155000000         0.000228256            0.192537            0.192766             25.0557           0.0205181
           165000000          0.00132778            0.191438            0.192766             26.4977           0.0238043
           175000000         0.000449161            0.193215            0.192766             28.0614           0.0231967
           185000000         0.000339411            0.193105            0.192766              31.202           0.0243097
           195000000         0.000724339            0.192041            0.192766             31.8569           0.0224418
           205000000         0.000367173            0.193133            0.192766             33.2934           0.0206596
           215000000          0.00121823            0.191547            0.192766              35.819            0.023669
           225000000         0.000198048            0.192568            0.192766             37.5064           0.0238095
           235000000         0.000155927             0.19261            0.192766              39.196           0.0233446
           245000000         0.000920118            0.193686            0.192766             41.0412           0.0201253
           255000000         0.000387781            0.192378            0.192766              42.699           0.0192903
           265000000         0.000181635            0.192947            0.192766             42.7552           0.0209309
           275000000         0.000346281            0.192419            0.192766             44.2233           0.0235763
           285000000         0.000105124            0.192661            0.192766             45.9362           0.0230967
           295000000         0.000590598            0.192175            0.192766             47.6455           0.0250425
           305000000         0.000535251            0.193301            0.192766             48.7635           0.0223889
           315000000         3.36425e-05            0.192732            0.192766             50.5262           0.0241685
           325000000          0.00019012            0.192576            0.192766             51.9523           0.0219696
           335000000         0.000180083            0.192586            0.192766             53.4959           0.0274108
           345000000         0.000742403            0.193508            0.192766             56.2009           0.0239255
           355000000         0.000856179             0.19191            0.192766             59.8936           0.0247131
           365000000         0.000338193            0.192428            0.192766             63.1774           0.0226223
           375000000         4.28309e-05            0.192809            0.192766             62.4249           0.0236842
           385000000          0.00064173            0.193407            0.192766             61.6512           0.0226021
           395000000         0.000238586            0.192527            0.192766             63.7435           0.0238777
           405000000         0.000213395            0.192979            0.192766             65.0401           0.0229758
           415000000         0.000497068            0.192269            0.192766             67.0788           0.0198582
           425000000         5.53911e-05             0.19271            0.192766             70.1598           0.0255072
           435000000          0.00051127            0.192254            0.192766             72.7402           0.0238596
           445000000         0.000758393            0.192007            0.192766             74.1332           0.0276936
           455000000         2.75409e-05            0.192738            0.192766             76.1716           0.0257604
           465000000         0.000143935            0.192622            0.192766             78.2631           0.0229236
           475000000         0.000197424            0.192963            0.192766             78.8303           0.0213306
           485000000         0.000213909             0.19298            0.192766             80.6788           0.0207263
           495000000         0.000214627            0.192551            0.192766              82.845           0.0262276
           505000000          0.00028395             0.19305            0.192766             83.8408           0.0245041
           515000000         0.000360471            0.193126            0.192766             84.8237           0.0199093
           525000000           0.0010628            0.191703            0.192766             85.9731            0.021846
           535000000         0.000543443            0.192222            0.192766               88.98            0.025265
           545000000         9.77514e-05            0.192863            0.192766             89.3708           0.0230244
           555000000         9.38187e-05            0.192672            0.192766             89.5818           0.0251573
