                   N               error          calculated               exact       comp time (s)            variance
              100000          0.00157759            0.194343            0.192766           0.0419221         1.04411e-06
              200000         0.000610709            0.193376            0.192766           0.0661337         2.10478e-06
              300000         0.000716147            0.193482            0.192766             0.10185          2.4077e-06
              400000         7.28707e-05            0.192839            0.192766            0.138495         3.60333e-06
              500000         0.000820552            0.193586            0.192766            0.180852         3.61995e-06
              600000         1.26716e-05            0.192778            0.192766            0.228269         4.43297e-06
              700000         0.000357791            0.193124            0.192766            0.269993         3.16577e-06
              800000         0.000296542            0.193062            0.192766            0.296543         3.07507e-06
              900000         0.000334764              0.1931            0.192766            0.326311         3.37655e-06
             1000000         0.000361334            0.193127            0.192766             0.35023         3.39345e-06
             1100000         0.000174036             0.19294            0.192766            0.356243         3.71296e-06
             1200000         1.88315e-05            0.192747            0.192766            0.405428          3.8198e-06
             1300000         0.000174175             0.19294            0.192766            0.440439         3.80828e-06
             1400000         0.000175956            0.192942            0.192766            0.477069         3.70094e-06
             1500000         0.000201679            0.192967            0.192766            0.508036         3.76106e-06
             1600000         0.000235433            0.193001            0.192766            0.536484         3.94061e-06
             1700000         0.000368024            0.192398            0.192766            0.599365         5.43238e-06
             1800000         0.000482784            0.192283            0.192766            0.641843         5.37757e-06
             1900000         0.000348256            0.192417            0.192766            0.646521         5.04023e-06
             2000000         0.000450845            0.192315            0.192766            0.688411         5.14326e-06
             2100000         0.000287155            0.192479            0.192766            0.742955          5.1736e-06
             2200000         0.000497348            0.192268            0.192766            0.728123         5.59477e-06
             2300000         9.08196e-05            0.192857            0.192766            0.773163         4.68353e-06
             2400000         4.04944e-05            0.192806            0.192766            0.807532         4.51834e-06
             2500000         0.000152641            0.192918            0.192766            0.851429         4.83672e-06
             2600000         0.000193656            0.192572            0.192766            0.884066         4.64627e-06
             2700000          0.00020999            0.192556            0.192766            0.911028         4.11193e-06
             2800000         9.06989e-05            0.192856            0.192766             0.95177         4.60331e-06
             2900000         0.000277664            0.193043            0.192766             1.01636         5.10912e-06
             3000000         0.000681647            0.193447            0.192766             1.02119         5.18119e-06
             3100000         0.000607123            0.193373            0.192766             1.04145         5.09166e-06
             3200000         2.81095e-05            0.192738            0.192766             1.08834         5.77576e-06
             3300000         0.000234434            0.192531            0.192766             1.20965         4.96988e-06
             3400000         4.90173e-05            0.192815            0.192766             1.31605         4.35799e-06
             3500000         0.000658455            0.193424            0.192766             1.32668         3.37575e-06
             3600000         0.000687047            0.193453            0.192766             1.20726         3.91554e-06
             3700000         0.000283864             0.19305            0.192766             1.54068         3.98048e-06
             3800000         0.000422072            0.192344            0.192766             1.30521         4.69283e-06
             3900000         0.000531392            0.192234            0.192766              1.4345         4.79855e-06
             4000000         0.000416037             0.19235            0.192766             1.53016         5.06227e-06
             4100000         4.17708e-05            0.192807            0.192766             1.36843         4.74204e-06
             4200000         0.000435064            0.193201            0.192766             1.37288         3.90844e-06
             4300000          0.00044661            0.193212            0.192766             1.49191          4.7353e-06
             4400000         0.000279788            0.193045            0.192766             1.47846         4.05863e-06
             4500000         9.27426e-05            0.192858            0.192766              1.5007         3.44329e-06
             4600000         0.000256173             0.19251            0.192766              1.5105         3.70756e-06
             4700000         0.000645449             0.19212            0.192766             1.49857         4.32724e-06
             4800000          0.00035874            0.192407            0.192766             1.52673          4.1215e-06
             4900000         6.48674e-05            0.192831            0.192766             1.59581         7.57237e-06
             5000000         0.000178081            0.192588            0.192766             1.57849         8.54006e-06
