                   N               error          calculated               exact       comp time (s)            variance
              100000          0.00146747            0.194233            0.192766           0.0513924         1.10743e-05
              200000         0.000491406            0.193257            0.192766           0.0917297         8.33117e-06
              300000         0.000883472            0.193649            0.192766            0.149156         6.00445e-06
              400000         0.000732767            0.193498            0.192766            0.192263         5.86468e-06
              500000         0.000543803             0.19331            0.192766            0.259545         6.33542e-06
              600000         0.000597666            0.193363            0.192766            0.355694         5.65245e-06
              700000         0.000521193            0.193287            0.192766            0.388337         5.32794e-06
              800000          0.00018539            0.192951            0.192766            0.414891         5.55598e-06
              900000         0.000176178             0.19259            0.192766            0.483738         5.74628e-06
             1000000         0.000123428            0.192642            0.192766            0.500757         5.66743e-06
             1100000         5.80869e-05            0.192708            0.192766            0.548695         5.53208e-06
             1200000         0.000137305            0.192903            0.192766            0.640614         5.84633e-06
             1300000         8.60526e-06            0.192774            0.192766            0.627327         6.23954e-06
             1400000          8.6539e-05            0.192852            0.192766            0.796491         5.12195e-06
             1500000         3.35702e-06            0.192769            0.192766            0.811162         4.82514e-06
             1600000         3.13024e-05            0.192734            0.192766            0.902787         4.15175e-06
             1700000         5.41394e-05            0.192712            0.192766            0.937193         4.85014e-06
             1800000         0.000167222            0.192598            0.192766            0.931756         4.54786e-06
             1900000         5.00572e-06            0.192771            0.192766             1.04321         4.27664e-06
             2000000         0.000276639            0.193042            0.192766             1.05351         4.15618e-06
             2100000         0.000172312            0.192938            0.192766             1.06883         3.76381e-06
             2200000         4.85138e-05            0.192717            0.192766             1.14668         4.65173e-06
             2300000         1.43814e-05            0.192751            0.192766             1.52382         4.54131e-06
             2400000         0.000111996            0.192878            0.192766             1.39311         4.62573e-06
             2500000         0.000102017            0.192868            0.192766             1.42684         3.96399e-06
             2600000         0.000143157            0.192909            0.192766             1.38434          4.0381e-06
             2700000         0.000306058            0.193072            0.192766             1.37644         3.56238e-06
             2800000         0.000466511            0.193232            0.192766              1.5024         2.82986e-06
             2900000         0.000200083            0.192966            0.192766             1.51059         3.65079e-06
             3000000         0.000157827            0.192924            0.192766             1.60916         3.73303e-06
             3100000         1.93914e-05            0.192746            0.192766             1.63226          4.1506e-06
             3200000         4.53201e-05             0.19272            0.192766             1.74238         4.60064e-06
             3300000         0.000111674            0.192654            0.192766             1.70978         4.96137e-06
             3400000         0.000109789            0.192876            0.192766             1.81146         4.00547e-06
             3500000         3.24125e-05            0.192798            0.192766             1.84026         3.89915e-06
             3600000         1.30549e-05            0.192779            0.192766             1.92254          3.4921e-06
             3700000         0.000130126            0.192896            0.192766             1.99171         4.19948e-06
             3800000         3.92718e-05            0.192726            0.192766             2.00184          4.6758e-06
             3900000         9.88827e-05            0.192865            0.192766             2.10835         4.24761e-06
             4000000         0.000135574            0.192901            0.192766             2.16032         4.38586e-06
             4100000         4.61261e-05             0.19272            0.192766             2.22318         4.13238e-06
             4200000         2.25521e-05            0.192788            0.192766             2.21221          4.1377e-06
             4300000         2.65318e-05            0.192739            0.192766             2.47851         4.69751e-06
             4400000         1.28653e-05            0.192753            0.192766             2.49703          4.9396e-06
             4500000         1.55488e-05            0.192781            0.192766             2.42337         4.74932e-06
             4600000         5.07138e-05            0.192715            0.192766             2.47436         5.31566e-06
             4700000         5.37798e-05            0.192819            0.192766             2.48113         5.44817e-06
             4800000         1.34978e-05            0.192752            0.192766             2.52533         5.85871e-06
             4900000         0.000142716            0.192908            0.192766             2.58538         5.88928e-06
             5000000         6.37719e-05            0.192829            0.192766             2.80371         5.91767e-06
