                   N               error          calculated               exact       comp time (s)            variance
              100000          0.00216894            0.190597            0.192766           0.0465118         7.37793e-06
              200000          0.00179241            0.190973            0.192766           0.0953721         5.37677e-06
              300000         0.000784488            0.191981            0.192766            0.131558          6.9111e-06
              400000          0.00104366            0.191722            0.192766            0.177112         6.42771e-06
              500000         0.000887375            0.191878            0.192766            0.214974         5.54242e-06
              600000         0.000562728            0.192203            0.192766            0.257119         5.89822e-06
              700000          0.00044367            0.192322            0.192766            0.304774         5.33497e-06
              800000         0.000281316            0.192484            0.192766            0.351457         4.83229e-06
              900000         0.000219076            0.192547            0.192766            0.377706         4.15825e-06
             1000000         0.000189437            0.192576            0.192766             0.42467         4.15169e-06
             1100000         0.000289499            0.192476            0.192766            0.465498         4.14895e-06
             1200000         0.000562682            0.192203            0.192766             0.49611         4.31364e-06
             1300000          0.00035843            0.192407            0.192766            0.534658         1.05149e-05
             1400000         0.000428374            0.192337            0.192766            0.590759         1.02775e-05
             1500000         0.000251725            0.192514            0.192766            0.617673         9.63289e-06
             1600000         0.000208517            0.192557            0.192766            0.669469         9.30433e-06
             1700000         0.000184286            0.192581            0.192766            0.714209         8.88851e-06
             1800000         0.000111115            0.192655            0.192766            0.755335         3.64749e-06
             1900000         2.59393e-05             0.19274            0.192766            0.774325         3.62018e-06
             2000000         0.000210685            0.192555            0.192766             0.80487          3.9454e-06
             2100000         0.000254439            0.192511            0.192766            0.904662         4.02596e-06
             2200000         0.000228395            0.192537            0.192766            0.947013         4.28278e-06
             2300000         5.70991e-05            0.192823            0.192766             1.07005         4.42645e-06
             2400000         0.000121955            0.192888            0.192766              1.0596         4.10676e-06
             2500000          4.1724e-07            0.192765            0.192766             1.12315         4.17133e-06
             2600000         0.000203323            0.192969            0.192766              1.4089         4.56911e-06
             2700000         0.000234777               0.193            0.192766              1.2036         4.33331e-06
             2800000         8.26753e-05            0.192683            0.192766             1.21644         4.36899e-06
             2900000         0.000127169            0.192639            0.192766             1.25417          4.6993e-06
             3000000         0.000123515            0.192642            0.192766             1.28401          4.6516e-06
             3100000         0.000227183            0.192539            0.192766             1.40718          5.3385e-06
             3200000         0.000239645            0.192526            0.192766             1.41839         5.06083e-06
             3300000         0.000107057            0.192659            0.192766             1.48081         5.12654e-06
             3400000         4.87842e-05            0.192717            0.192766             1.38386         4.83434e-06
             3500000         3.69096e-05            0.192729            0.192766             1.51767         4.01322e-06
             3600000         0.000286188            0.193052            0.192766             1.50213         3.74307e-06
             3700000         0.000317756            0.193083            0.192766             1.50104         3.76534e-06
             3800000         0.000302527            0.193068            0.192766             1.51354         4.23434e-06
             3900000         0.000350191            0.193116            0.192766             1.57942         4.45165e-06
             4000000         0.000194063             0.19296            0.192766             1.63054         4.61262e-06
             4100000           7.299e-06            0.192773            0.192766             1.80234          5.1461e-06
             4200000         0.000261036            0.193027            0.192766              1.9893         4.64355e-06
             4300000         0.000212565            0.192978            0.192766             1.88221         4.62475e-06
             4400000         0.000448291            0.193214            0.192766             1.93355         4.40749e-06
             4500000         0.000166538            0.192932            0.192766             1.97877         4.33764e-06
             4600000         0.000293282            0.193059            0.192766             2.00209         4.30619e-06
             4700000         7.34739e-05            0.192839            0.192766             2.01716         4.03906e-06
             4800000         6.98993e-05            0.192836            0.192766             2.09971         4.60459e-06
             4900000         5.12437e-05            0.192714            0.192766             2.13504         4.39327e-06
             5000000         2.90309e-05            0.192737            0.192766             2.16374         5.02053e-06
