   rho          eigenvalue
   0.1         1008.540812
   0.3          117.690955
   0.5         44.29889707
   0.7         23.57899025
   0.9         14.85534526
   1.1         10.34334723
   1.3          7.69557691
   1.5         6.003454987
   1.7         4.853881686
   1.9         4.036479139
   2.1         3.434652808
   2.3         2.979396133
   2.5         2.627659283
   2.7         2.351397093
   2.9         2.131661529
   3.1         1.955243636
   3.3         1.812678423
   3.5         1.697013877
   3.7         1.603026262
   3.9         1.526705569
   4.1         1.464909814
   4.3         1.415128012
   4.5         1.375315098
   4.7           1.3437758
   4.9         1.319082759
   5.1         1.300019205
   5.3          1.28553955
   5.5         1.274743049
   5.7         1.266856656
   5.9         1.261223782
   6.1         1.257296074
   6.3         1.254625846
   6.5          1.25285754
   6.7         1.251717476
   6.9         1.251002006
