8 60 1
          calculated               exact               error             rho_max                  n
          54.5452735                  23          31.5452735                 2.6                 400
         73.42033083                  27         46.42033083                 2.6                 400
         95.19715632                  31         64.19715632                 2.6                 400
         3.030805043                   3       0.03080504265                 2.7                 400
         7.778650202                   7        0.7786502021                 2.7                 400
         14.57854606                  11         3.578546062                 2.7                 400
         24.00110051                  15         9.001100511                 2.7                 400
          36.1152721                  19          17.1152721                 2.7                 400
         50.92398805                  23         27.92398805                 2.7                 400
         68.42561086                  27         41.42561086                 2.7                 400
         88.61842331                  31         57.61842331                 2.7                 400
         3.014235324                   3       0.01423532441                 2.8                 400
         7.579210575                   7        0.5792105752                 2.8                 400
          13.9240314                  11         2.924031404                 2.8                 400
         22.68201535                  15         7.682015355                 2.8                 400
          33.9427528                  19          14.9427528                 2.8                 400
         47.71028531                  23         24.71028531                 2.8                 400
         63.98263309                  27         36.98263309                 2.8                 400
         82.75786511                  31         51.75786511                 2.8                 400
         3.002787071                   3      0.002787070773                 2.9                 400
         7.420969457                   7        0.4209694575                 2.9                 400
         13.36488867                  11         2.364888672                 2.9                 400
          21.5254538                  15         6.525453805                 2.9                 400
         32.01856481                  19         13.01856481                 2.9                 400
         44.85011521                  23         21.85011521                 2.9                 400
         60.01773682                  27         33.01773682                 2.9                 400
         77.51921632                  31         46.51921632                 2.9                 400
         2.995003434                   3      0.004996565936                   3                 400
         7.297424026                   7        0.2974240264                   3                 400
         12.88975021                  11         1.889750214                   3                 400
         20.51157039                  15         5.511570388                   3                 400
         30.31147289                  19         11.31147289                   3                 400
         42.29832811                  23         19.29832811                   3                 400
         56.46936309                  27         29.46936309                   3                 400
         72.82200893                  31         41.82200893                   3                 400
         2.989771714                   3       0.01022828559                 3.1                 400
         7.202727339                   7        0.2027273389                 3.1                 400
         12.48887797                  11         1.488877973                 3.1                 400
          19.6237252                  15           4.6237252                 3.1                 400
         28.79526195                  19         9.795261945                 3.1                 400
         40.01698592                  23         17.01698592                 3.1                 400
         53.28575514                  27         26.28575514                 3.1                 400
         68.59856828                  31         37.59856828                 3.1                 400
         2.986267528                   3        0.0137324719                 3.2                 400
         7.131620077                   7        0.1316200768                 3.2                 400
         12.15377303                  11         1.153773028                 3.2                 400
         18.84788127                  15         3.847881272                 3.2                 400
         27.44781639                  19         8.447816387                 3.2                 400
          37.9740372                  23          14.9740372                 3.2                 400
         50.42315414                  27         23.42315414                 3.2                 400
         64.79165588                  31         33.79165588                 3.2                 400
         2.983899537                   3       0.01610046296                 3.3                 400
         7.079408494                   7       0.07940849358                 3.3                 400
         11.87685362                  11        0.8768536194                 3.3                 400
         18.17211788                  15         3.172117882                 3.3                 400
         26.25039104                  19         7.250391042                 3.3                 400
         36.14226936                  23         13.14226936                 3.3                 400
         47.84437215                  27         20.84437215                 3.3                 400
         61.35260478                  31         30.35260478                 3.3                 400
         2.982257451                   3        0.0177425486                 3.4                 400
         7.041969967                   7       0.04196996662                 3.4                 400
         11.65119571                  11        0.6511957136                 3.4                 400
         17.58622874                  15         2.586228743                 3.4                 400
         25.18702834                  19         6.187028342                 3.4                 400
         34.49847368                  23         11.49847368                 3.4                 400
         45.51765483                  27         18.51765483                 3.4                 400
         58.23983333                  31         27.23983333                 3.4                 400
          2.98106596                   3       0.01893403971                 3.5                 400
         7.015767221                   7       0.01576722068                 3.5                 400
          11.4703373                  11        0.4703373003                 3.5                 400
          17.0813812                  15         2.081381202                 3.5                 400
         24.24408763                  19         5.244087628                 3.5                 400
         33.02277504                  23         10.02277504                 3.5                 400
          43.4157688                  27          16.4157688                 3.5                 400
          55.4176522                  31          24.4176522                 3.5                 400
         2.980146332                   3       0.01985366836                 3.6                 400
          6.99785419                   7      0.002145810492                 3.6                 400
         11.32815109                  11        0.3281510922                 3.6                 400
         16.64981845                  15         1.649818455                 3.6                 400
         23.40986012                  19         4.409860125                 3.6                 400
         31.69809025                  23         8.698090251                 3.6                 400
          41.5152643                  27          14.5152643                 3.6                 400
          52.8553005                  31          21.8553005                 3.6                 400
         2.979386222                   3       0.02061377834                 3.7                 400
         6.985861218                   7        0.0141387824                 3.7                 400
         11.21878887                  11        0.2187888679                 3.7                 400
         16.28459261                  15         1.284592611                 3.7                 400
          22.6742486                  19         3.674248598                 3.7                 400
         30.50968698                  23         7.509686977                 3.7                 400
         39.79587599                  27         12.79587599                 3.7                 400
         50.52616211                  31         19.52616211                 3.7                 400
         2.978717198                   3       0.02128280227                 3.8                 400
         6.977954352                   7       0.02204564829                 3.8                 400
         11.13669428                  11        0.1366942816                 3.8                 400
         15.97932311                  15        0.9793231123                 3.8                 400
         22.02849448                  19         3.028494476                 3.8                 400
         29.44482183                  23         6.444821833                 3.8                 400
         38.24003292                  27         11.24003292                 3.8                 400
         48.40712485                  31         17.40712485                 3.8                 400
         2.978098823                   3       0.02190117656                 3.9                 400
         6.972771066                   7       0.02722893385                 3.9                 400
         11.07667119                  11       0.07667119059                 3.9                 400
          15.7279828                  15        0.7279827983                 3.9                 400
         21.46493789                  19         2.464937893                 3.9                 400
         28.49244057                  23         5.492440573                 3.9                 400
         36.83245576                  27         9.832455761                 3.9                 400
         46.47805373                  31         15.47805373                 3.9                 400
         2.977507898                   3       0.02249210166                   4                 400
         6.969340622                   7        0.0306593784                   4                 400
         11.03398462                  11       0.03398461872                   4                 400
         15.52472216                  15        0.5247221618                   4                 400
         20.97679825                  19         1.976798248                   4                 400
         27.64292647                  23         4.642926475                   4                 400
         35.55982357                  27         8.559823574                   4                 400
         44.72135556                  31         13.72135556                   4                 400
         2.976931486                   3       0.02306851425                 4.1                 400
         6.966999769                   7        0.0330002305                 4.1                 400
         11.00446514                  11      0.004465139911                 4.1                 400
         15.36374857                  15        0.3637485702                 4.1                 400
         20.55796533                  19         1.557965335                 4.1                 400
          26.8878852                  23         3.887885204                 4.1                 400
         34.41049666                  27         7.410496662                 4.1                 400
         43.12161758                  31         12.12161758                 4.1                 400
         2.976362569                   3       0.02363743064                 4.2                 400
         6.965313569                   7       0.03468643144                 4.2                 400
         10.98458777                  11       0.01541222962                 4.2                 400
         15.23927822                  15         0.239278224                 4.2                 400
         20.20279475                  19         1.202794752                 4.2                 400
          26.2199557                  23         3.219955696                 4.2                 400
         33.37428415                  27         6.374284147                 4.2                 400
         41.66530595                  31         10.66530595                 4.2                 400
         2.975797445                   3       0.02420255472                 4.3                 400
         6.964007887                   7       0.03599211296                 4.3                 400
         10.97150433                  11       0.02849567249                 4.3                 400
         15.14557145                  15        0.1455714521                 4.3                 400
         19.90590731                  19        0.9059073083                 4.3                 400
         25.63263733                  23          2.63263733                 4.3                 400
         32.44224713                  27         5.442247135                 4.3                 400
         40.34051311                  31         9.340513114                 4.3                 400
         2.975234209                   3       0.02476579084                 4.4                 400
         6.962916393                   7       0.03708360686                 4.4                 400
