   rho          eigenvalue
   0.1         1008.541344
   0.3         117.6957915
   0.5         44.31245617
   0.7          23.6057986
   0.9         14.90002497
   1.1         10.41059367
   1.3         7.790125125
   1.5         6.130032308
   1.7         5.017144284
   1.9         4.240930763
   2.1         3.684544465
   2.3         3.278606386
   2.5         2.979556316
   2.7         2.758685893
   2.9         2.596223005
   3.1         2.477977349
   3.3         2.393366767
   3.5         2.334231832
   3.7         2.294124555
   3.9         2.267892057
   4.1         2.251440389
   4.3         2.241594575
   4.5         2.235991511
   4.7         2.232965868
   4.9         2.231416483
   5.1         2.230663386
   5.3         2.230314909
   5.5         2.230160347
   5.7         2.230093562
   5.9          2.23006434
   6.1         2.230050303
   6.3         2.230042036
   6.5         2.230035786
   6.7         2.230030136
   6.9         2.230024578
