   rho          eigenvalue
   0.1         1008.540642
   0.3         117.6894074
   0.5          44.2945579
   0.7         23.57040965
   0.9         14.84103904
   1.1         10.32179942
   1.3         7.665242896
   1.5         5.962765607
   1.7         4.801248365
   1.9         3.970300259
   2.1         3.353321447
   2.3         2.881309296
   2.5         2.511228749
   2.7         2.215061959
   2.9         1.973902519
   3.1         1.774599206
   3.3         1.607762632
   3.5         1.466535934
   3.7         1.345811548
   3.9         1.241717795
   4.1         1.151273794
   4.3         1.072152278
   4.5         1.002513316
   4.7          0.94088561
   4.9        0.8860803895
   5.1        0.8371280195
   5.3        0.7932306945
   5.5         0.753726702
   5.7        0.7180631174
   5.9        0.6857747206
   6.1        0.6564675577
   6.3        0.6298060087
   6.5        0.6055025279
   6.7        0.5833094389
   6.9        0.5630123267
