   rho          eigenvalue
   0.1         1008.540636
   0.3         117.6893455
   0.5         44.29438433
   0.7          23.5700664
   0.9         14.84046671
   1.1         10.32093722
   1.3         7.664028742
   1.5         5.961136166
   1.7         4.799139093
   1.9         3.967645456
   2.1          3.35005431
   2.3          2.87736197
   2.5         2.506532381
   2.7         2.209546751
   2.9         1.967497791
   3.1         1.767233447
   3.3         1.599363567
   3.5         1.457030584
   3.7         1.335126297
   3.9         1.229778459
   4.1         1.138005693
   4.3         1.057480313
   4.5        0.9863620432
   4.7        0.9231793268
   4.9        0.8667432202
   5.1        0.8160840042
   5.3        0.7704038835
   5.5        0.7290412549
   5.7        0.6914434055
   5.9        0.6571454346
   6.1        0.6257538201
   6.3        0.5969334913
   6.5        0.5703975737
   6.7        0.5458991898
   6.9        0.5232248561
