8 50 29
          calculated               exact               error             rho_max                  n
          6.77350714                   7        0.2264928596                 6.6                 100
         10.70809194                  11        0.2919080579                 6.6                 100
          14.6476468                  15        0.3523532011                 6.6                 100
         18.58867594                  19        0.4113240552                 6.6                 100
         22.52943441                  23        0.4705655941                 6.6                 100
         26.46910885                  27        0.5308911496                 6.6                 100
         30.40976947                  31        0.5902305305                 6.6                 100
          2.85096107                   3        0.1490389298                 6.7                 100
         6.770031671                   7        0.2299683291                 6.7                 100
         10.70348147                  11        0.2965185295                 6.7                 100
         14.64191004                  15        0.3580899553                 6.7                 100
         18.58176807                  19        0.4182319295                 6.7                 100
         22.52127744                  23        0.4787225625                 6.7                 100
         26.45948766                  27         0.540512343                 6.7                 100
         30.39705878                  31        0.6029412167                 6.7                 100
         2.848770265                   3        0.1512297351                 6.8                 100
         6.766554998                   7        0.2334450021                 6.8                 100
         10.69886559                  11        0.3011344108                 6.8                 100
         14.63616169                  15         0.363838315                 6.8                 100
         18.57484049                  19        0.4251595072                 6.8                 100
         22.51309438                  23         0.486905625                 6.8                 100
         26.44990268                  27        0.5500973185                 6.8                 100
         30.38520603                  31        0.6147939736                 6.8                 100
         2.846580475                   3        0.1534195252                 6.9                 100
         6.763077126                   7        0.2369228742                 6.9                 100
         10.69424431                  11        0.3057556938                 6.9                 100
         14.63040173                  15        0.3695982706                 6.9                 100
         18.56789315                  19        0.4321068504                 6.9                 100
         22.50488287                  23        0.4951171276                 6.9                 100
         26.44031085                  27        0.5596891526                 6.9                 100
         30.37376377                  31        0.6262362258                 6.9                 100
         2.844391701                   3        0.1556082991                   7                 100
         6.759598059                   7        0.2404019409                   7                 100
         10.68961763                  11        0.3103823707                   7                 100
         14.62463019                  15        0.3753698117                   7                 100
         18.56092602                  19        0.4390739751                   7                 100
         22.49664196                  23         0.503358042                   7                 100
         26.43069212                  27        0.5693078783                   7                 100
         30.36249315                  31        0.6375068515                   7                 100
         2.842203944                   3        0.1577960556                 7.1                 100
         6.756117802                   7        0.2438821981                 7.1                 100
         10.68498557                  11        0.3150144338                 7.1                 100
         14.61884707                  15        0.3811529279                 7.1                 100
         18.55393912                  19        0.4460608795                 7.1                 100
         22.48837125                  23        0.5116287541                 7.1                 100
         26.42103754                  27        0.5789624568                 7.1                 100
         30.35127283                  31        0.6487271711                 7.1                 100
         2.840017206                   3        0.1599827938                 7.2                 100
         6.752636359                   7        0.2473636414                 7.2                 100
         10.68034812                  11        0.3196518751                 7.2                 100
         14.61305239                  15        0.3869476085                 7.2                 100
         18.54693244                  19        0.4530675554                 7.2                 100
         22.48007059                  23        0.5199294081                 7.2                 100
         26.41134325                  27        0.5886567499                 7.2                 100
         30.34004398                  31        0.6599560174                 7.2                 100
         2.837831487                   3        0.1621685126                 7.3                 100
         6.749153734                   7        0.2508462663                 7.3                 100
         10.67570531                  11        0.3242946868                 7.3                 100
         14.60724616                  15        0.3927538429                 7.3                 100
         18.53990601                  19        0.4600939922                 7.3                 100
         22.47173995                  23        0.5282600521                 7.3                 100
         26.40160764                  27         0.598392362                 7.3                 100
         30.32877928                  31        0.6712207177                 7.3                 100
         2.835646789                   3        0.1643532109                 7.4                 100
         6.745669931                   7        0.2543300686                 7.4                 100
         10.67105714                  11        0.3289428613                 7.4                 100
         14.60142838                  15        0.3985716208                 7.4                 100
         18.53285982                  19        0.4671401785                 7.4                 100
          22.4633793                  23        0.5366206973                 7.4                 100
         26.39183006                  27        0.6081699353                 7.4                 100
         30.31746654                  31        0.6825334612                 7.4                 100
         2.833463112                   3        0.1665368876                 7.5                 100
         6.742184956                   7         0.257815044                 7.5                 100
         10.66640361                  11        0.3335963908                 7.5                 100
         14.59559907                  15        0.4044009315                 7.5                 100
          18.5257939                  19         0.474206103                 7.5                 100
         22.45498866                  23        0.5450113408                 7.5                 100
         26.38201028                  27        0.6179897165                 7.5                 100
         30.30610052                  31         0.693899481                 7.5                 100
         2.831280458                   3        0.1687195418                 7.6                 100
         6.738698812                   7        0.2613011882                 7.6                 100
         10.66174473                  11        0.3382552676                 7.6                 100
         14.58975824                  15        0.4102417648                 7.6                 100
         18.51870825                  19        0.4812917542                 7.6                 100
         22.44656802                  23        0.5534319755                 7.6                 100
          26.3721482                  27        0.6278517954                 7.6                 100
         30.29467906                  31        0.7053209443                 7.6                 100
         2.829098828                   3        0.1709011724                 7.7                 100
         6.735211503                   7        0.2647884968                 7.7                 100
         10.65708052                  11        0.3429194839                 7.7                 100
         14.58390589                  15        0.4160941103                 7.7                 100
         18.51160288                  19        0.4883971208                 7.7                 100
         22.43811741                  23        0.5618825921                 7.7                 100
          26.3622438                  27        0.6377562017                 7.7                 100
         30.28320128                  31        0.7167987193                 7.7                 100
         2.826918222                   3        0.1730817783                 7.8                 100
         6.731723034                   7        0.2682769656                 7.8                 100
         10.65241097                  11        0.3475890323                 7.8                 100
         14.57804204                  15        0.4219579579                 7.8                 100
         18.50447781                  19        0.4955221917                 7.8                 100
         22.42963682                  23        0.5703631816                 7.8                 100
         26.35229706                  27        0.6477029432                 7.8                 100
         30.27166686                  31        0.7283331439                 7.8                 100
         2.824738641                   3        0.1752613585                 7.9                 100
          6.72823341                   7        0.2717665903                 7.9                 100
          10.6477361                  11         0.352263905                 7.9                 100
          14.5721667                  15        0.4278332973                 7.9                 100
         18.49733304                  19        0.5026669558                 7.9                 100
         22.42112627                  23        0.5788737346                 7.9                 100
         26.34230798                  27        0.6576920198                 7.9                 100
         30.26007565                  31        0.7399243481                 7.9                 100
         2.822560088                   3         0.177439912                   8                 100
         6.724742633                   7        0.2752573666                   8                 100
         10.64305591                  11        0.3569440944                   8                 100
         14.56627988                  15        0.4337201186                   8                 100
          18.4901686                  19        0.5098314024                   8                 100
         22.41258576                  23         0.587414242                   8                 100
         26.33227657                  27        0.6677234294                   8                 100
         30.24842762                  31        0.7515723828                   8                 100
         2.820382562                   3        0.1796174377                 8.1                 100
          6.72125071                   7        0.2787492903                 8.1                 100
         10.63837041                  11        0.3616295932                 8.1                 100
         14.56038159                  15        0.4396184116                 8.1                 100
         18.48298448                  19        0.5170155205                 8.1                 100
          22.4040153                  23        0.5959846952                 8.1                 100
         26.32220283                  27        0.6777971688                 8.1                 100
         30.23672273                  31        0.7632772705                 8.1                 100
         2.818206065                   3        0.1817939346                 8.2                 100
         6.717757643                   7         0.282242357                 8.2                 100
         10.63367961                  11        0.3663203935                 8.2                 100
         14.55447183                  15        0.4455281665                 8.2                 100
          18.4757807                  19        0.5242192998                 8.2                 100
         22.39541491                  23        0.6045850856                 8.2                 100
         26.31208676                  27        0.6879132356                 8.2                 100
         30.22496098                  31         0.775039024                 8.2                 100
         2.816030598                   3        0.1839694017                 8.3                 100
         6.714263437                   7        0.2857365626                 8.3                 100
         10.62898351                  11        0.3710164881                 8.3                 100
         14.54855063                  15        0.4514493734                 8.3                 100
         18.46855727                  19        0.5314427297                 8.3                 100
          22.3867846                  23        0.6132154049                 8.3                 100
         26.30192837                  27        0.6980716273                 8.3                 100
         30.21314235                  31        0.7868576529                 8.3                 100
         2.813856162                   3        0.1861438379                 8.4                 100
         6.710768097                   7        0.2892319028                 8.4                 100
         10.62428213                  11        0.3757178693                 8.4                 100
         14.54261798                  15        0.4573820224                 8.4                 100
          18.4613142                  19           0.5386858                 8.4                 100
         22.37812435                  23        0.6218756452                 8.4                 100
         26.29172766                  27        0.7082723419                 8.4                 100
         30.20126683                  31        0.7987331668                 8.4                 100
         2.811682758                   3        0.1883172422                 8.5                 100
         6.707271627                   7        0.2927283734                 8.5                 100
         10.61957547                  11        0.3804245298                 8.5                 100
          14.5366739                  15        0.4633261039                 8.5                 100
          18.4540515                  19        0.5459485005                 8.5                 100
          22.3694342                  23        0.6305657987                 8.5                 100
         26.28148462                  27        0.7185153779                 8.5                 100
         30.18933442                  31        0.8106655751                 8.5                 100
         2.809510386                   3        0.1904896135                 8.6                 100
          6.70377403                   7        0.2962259702                 8.6                 100
         10.61486354                  11        0.3851364622                 8.6                 100
         14.53071839                  15        0.4692816082                 8.6                 100
         18.44676918                  19        0.5532308212                 8.6                 100
         22.36071414                  23         0.639285858                 8.6                 100
         26.27119927                  27        0.7288007344                 8.6                 100
         30.17734511                  31        0.8226548883                 8.6                 100
         2.807339049                   3         0.192660951                 8.7                 100
         6.700275311                   7        0.2997246889                 8.7                 100
         10.61014634                  11         0.389853659                 8.7                 100
         14.52475147                  15        0.4752485256                 8.7                 100
         18.43946725                  19        0.5605327523                 8.7                 100
         22.35196418                  23         0.648035816                 8.7                 100
         26.26087159                  27        0.7391284107                 8.7                 100
         30.16529888                  31        0.8347011172                 8.7                 100
         2.805168747                   3        0.1948312534                 8.8                 100
         6.696775475                   7        0.3032245253                 8.8                 100
         10.60542389                  11        0.3945761128                 8.8                 100
         14.51877315                  15        0.4812268468                 8.8                 100
         18.43214572                  19        0.5678542842                 8.8                 100
         22.34318433                  23        0.6568156656                 8.8                 100
         26.25050159                  27        0.7494984067                 8.8                 100
         30.15319573                  31        0.8468042735                 8.8                 100
          2.80299948                   3        0.1970005199                 8.9                 100
         6.693274525                   7        0.3067254754                 8.9                 100
         10.60069618                  11        0.3993038164                 8.9                 100
         14.51278344                  15        0.4872165621                 8.9                 100
         18.42480459                  19        0.5751954072                 8.9                 100
          22.3343746                  23        0.6656254004                 8.9                 100
         26.24008928                  27        0.7599107228                 8.9                 100
         30.14103563                  31        0.8589643697                 8.9                 100
         2.800831251                   3        0.1991687494                   9                 100
         6.689772465                   7        0.3102275347                   9                 100
         10.59596324                  11        0.4040367625                   9                 100
         14.50678234                  15        0.4932176623                   9                 100
         18.41744389                  19         0.582556112                   9                 100
         22.32553499                  23        0.6744650139                   9                 100
         26.22963464                  27        0.7703653596                   9                 100
         30.12881858                  31        0.8711814189                   9                 100
         2.798664059                   3        0.2013359408                 9.1                 100
         6.686269301                   7        0.3137306993                 9.1                 100
         10.59122506                  11        0.4087749437                 9.1                 100
         14.50076986                  15         0.499230138                 9.1                 100
         18.41006361                  19        0.5899363893                 9.1                 100
          22.3166655                  23        0.6833345001                 9.1                 100
         26.21913768                  27        0.7808623187                 9.1                 100
         30.11654457                  31         0.883455435                 9.1                 100
         2.796497907                   3        0.2035020933                 9.2                 100
         6.682765035                   7        0.3172349649                 9.2                 100
         10.58648165                  11        0.4135183528                 9.2                 100
         14.49474602                  15          0.50525398                 9.2                 100
         18.40266377                  19          0.59733623                 9.2                 100
