   rho          eigenvalue
   0.1          1008.61149
   0.3         118.3336989
   0.5         46.09158475
   0.7         27.06510892
   0.9         20.44857361
   1.1         18.18632389
   1.3         17.57238364
   1.5         17.46113146
   1.7         17.44874581
   1.9         17.44779641
   2.1         17.44761626
   2.3         17.44745022
   2.5         17.44726639
   2.7         17.44706439
   2.9         17.44684459
   3.1         17.44660726
   3.3         17.44635261
   3.5         17.44608081
   3.7         17.44579198
   3.9         17.44548621
   4.1          17.4451636
   4.3          17.4448242
   4.5         17.44446806
   4.7         17.44409523
   4.9         17.44370575
   5.1         17.44329963
   5.3         17.44287691
   5.5         17.44243761
   5.7         17.44198173
   5.9          17.4415093
   6.1         17.44102033
   6.3         17.44051482
   6.5         17.43999278
   6.7         17.43945421
   6.9         17.43889913
